"","full_address","latitude","longitude","total_leasedSF","company_list","sector_list","lease_count","crimes_within_500m","crime_score","weighted_routes","accesibilty","internal_class","price_multiplier"
"1","1 Broadway, New York, NY, 10004",40.7049731,-74.0146054,208737,"Fiserv; Fiserv; Fiserv","Technology, Advertising, Media, And Information",3,268,0.905500705218618,19.6322466564314,0.553333006858334,"A",17457267.9393914
"2","1 Bryant Park, New York, NY, 10036",40.6145717,-73.6452839,473899,"Akin Gump Strauss Hauer & Feld; Bank Of America; NA; NA; NA","Legal Services; Financial Services And Insurance; NA",5,0,1,0,0,"A",39633518.8261289
"3","1 Dag Hammarskjold Plz, New York, NY, 10017",40.7532073,-73.9700146,359652,"NA; Permanent Mission Of Italy To The Un; United Nations Joint Staff Pension Fund; NA; United Nations; Douglas C. Lane & Associates; United Kingdom Mission To The United Nations; NA; NA; Microsoft; Permanent Mission Of France To The United Nations; Permanent Mission Of Ireland; NA; NA; NA","NA; Government; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Financial Services And Insurance; Tbd; Technology, Advertising, Media, And Information",15,303,0.893159379407616,10.9734548164514,0.309285781473309,"A",30078717.8551862
"4","1 Hanover Sq, New York, NY, 10004",40.7046606,-74.0097725,22464,"NA; NA; Stone Street Software; Switch; NA","NA; Tbd",5,330,0.883638928067701,21.480790563744,0.605434041265818,"A",2020137.739776
"5","1 Herald Sq, New York, NY, 10001",40.7502599,-73.9879099,149991,"Yeshiva University","Education",1,1521,0.463681241184767,32.3104812677678,0.910667844888602,"O",8362782.11496528
"6","1 Liberty Plz, New York, NY, 10006",40.6590616,-74.004415,501260,"Acrisure; HEAP; NA; Chaves & Perlowitz; NA; Convene; NA; Health First; NA; Wasserman Music; NA; NA; Cushman & Wakefield; NA; Jfb Legal; Digiday; Stylus Styles; Friedman; Ithaka; The Port Authority Of New York And New Jersey; Jfb Legal","Financial Services And Insurance; Government; NA; Legal Services; Tbd; Coworking And Executive Suite Companies; Healthcare; Technology, Advertising, Media, And Information; Real Estate (Except Coworking Providers); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",21,0,1,0,0,"A",41921796.9372912
"7","1 Madison Ave, New York, NY, 10010",40.74083,-73.9868072,849155,"IBM; 777 Partners; Palo Alto Networks; NA; Coinbase; Fan Duel (Flutter); Franklin Templeton; NA","Technology, Advertising, Media, And Information; Financial Services And Insurance; NA; Personal Services And Recreation",8,536,0.811001410437236,19.9921106962725,0.563475740632527,"A",71017243.5029436
"8","1 Manhattan West, New York, NY, 10001",40.7527237,-73.997689,379221,"Mckool Smith; Pharo Management; W.p.carey; Wiz; Sas Institute; Immobiliare Management; NA; Worldwide Technologies; NA; Susman Godfrey; Darktrace; NA; Accenture; Pharo Management; NA; NA","Legal Services; Financial Services And Insurance; Technology, Advertising, Media, And Information; Education; NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Tbd; Unclassifiable",16,833,0.706276445698166,17.3208491709562,0.488186488323543,"A",31715328.8839255
"9","1 New York Plz, New York, NY, 10004",40.7021931,-74.0120405,1801684,"Fried Frank; NA; Spacesmith; Fidelity Information Services; Morgan Stanley","Legal Services; NA; Construction, Engineering And Architecture; Technology, Advertising, Media, And Information; Financial Services And Insurance",5,166,0.941466854724965,15.261029762971,0.430130674001743,"A",150679948.117078
"10","1 Rockefeller Plaza, New York, NY, 10020",40.7580432,-73.9790248,351542,"NA; NA; NA; Ehomie New York; NA; NA; NA; Old Republic Insurance; NA; Chesapeake Asset Management; NA; NA; NA; NA; FXCM; NA; NA; NA; NA; Nyc Tourism & Conventions; Gochman Group; Empery Asset Management; Quontic Bank; NA; NA; NA; NA; Club Monaco; Emery Celli Abady; NA; NA; NA; Trammo [Transammonia]; NA; NA; 16th Amendment Advisors; Colchester Partners; Renco Group; NA; Alleghany; NA; Ulysses Management; NA; NA; NA; Ingalls & Snyder; NA; NA","NA; Financial Services And Insurance; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Real Estate (Except Coworking Providers); Retail; Legal Services; Transportation; Tbd",48,777,0.726022566995769,32.2870616790244,0.910007766004837,"A",29400455.529923
