zip,tech_estabs_exp_score,fin_estabs_exp_score,law_estabs_exp_score
01001,3,4,4
01002,4,5,4
01005,2,2,3
01007,2,3,1
01020,3,5,1
01027,3,4,4
01028,3,5,4
01040,3,5,4
01056,2,4,3
01060,3,5,5
01062,3,3,1
01069,3,3,3
01075,3,4,1
01085,4,5,5
01089,3,5,5
01095,3,4,4
01106,3,5,4
01201,4,5,6
01230,2,4,4
01267,2,3,3
01301,3,4,4
01432,3,3,1
01434,3,1,1
01450,3,3,3
01451,4,2,3
01453,3,5,5
01460,4,3,1
01462,3,3,1
01463,3,3,1
01501,3,5,3
01505,2,2,1
01507,3,3,1
01510,3,4,3
01520,2,4,4
01527,3,4,1
01532,5,4,4
01536,3,3,1
01545,5,5,4
01560,4,1,1
01564,3,3,1
01566,3,4,3
01568,3,3,1
01569,2,2,1
01581,5,6,5
01583,2,3,1
01590,3,3,1
01602,3,4,4
01603,3,4,1
01604,3,4,3
01605,3,5,4
01606,3,4,1
01608,4,5,7
01609,3,4,6
01701,5,5,6
01702,4,4,5
01719,3,2,3
01720,5,5,5
01721,4,4,3
01730,5,5,3
01731,3,1,1
01740,3,2,1
01741,4,3,1
01742,5,5,5
01746,3,4,3
01747,2,1,1
01748,5,5,3
01749,3,4,1
01752,5,5,5
01754,4,3,3
01757,4,4,4
01760,5,5,5
01770,3,3,4
01772,4,4,4
01776,5,4,5
01778,4,4,1
01801,6,6,6
01803,6,6,5
01810,5,5,6
01821,4,4,3
01824,4,5,5
01826,3,4,4
01830,3,4,5
01832,2,3,1
01833,3,2,1
01844,3,5,5
01845,5,5,6
01851,4,4,3
01852,3,5,6
01854,3,4,3
01862,3,3,1
01863,2,3,3
01864,4,4,4
01867,4,5,4
01876,4,4,4
01879,4,3,3
01880,5,5,5
01886,5,5,5
01887,4,5,4
01890,4,5,5
01906,3,4,5
01907,3,4,3
01913,3,4,3
01915,5,5,5
01921,3,3,1
01923,4,6,5
01930,3,5,5
01938,2,4,3
01940,3,5,5
01944,3,4,1
01945,3,5,4
01949,3,5,4
01950,4,5,5
01960,5,5,5
01966,2,3,1
01969,3,3,1
01970,4,5,6
01983,3,4,4
02019,2,4,1
02021,4,5,5
02025,3,4,1
02026,4,5,6
02030,2,3,3
02032,3,1,1
02035,3,5,4
02038,4,5,5
02043,4,6,6
02048,4,5,5
02050,3,5,4
02052,4,4,3
02053,3,4,3
02054,2,3,1
02061,4,5,5
02062,4,5,6
02066,4,4,4
02067,4,3,5
02072,4,5,5
02081,4,4,5
02090,4,5,4
02093,4,4,3
02108,5,6,7
02109,6,6,8
02110,6,7,8
02111,6,5,6
02114,5,4,6
02115,5,5,1
02116,6,6,7
02118,4,5,4
02119,3,3,3
02124,3,4,4
02125,3,5,3
02127,4,5,4
02128,3,4,4
02129,4,4,5
02130,4,4,4
02131,3,4,4
02132,3,4,5
02134,3,4,1
02135,4,4,4
02138,5,5,4
02139,5,5,5
02140,5,4,5
02141,4,4,5
02142,6,5,3
